"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"P6CK";"EK-SCHOONBROEK HANDBOOG";288;490;98;24;10;34,7;76;7599
"P6DK";"EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT";367;868;275;82;22;37,8;68;8968
"P6EK";"EK-DONKSE BEEK";442;982;242;34;10;18,2;32;4891
"P6FK";"EK-EKERSE POLDER";"";"";"";"";"";"";"";""
"P6PK";"EK-EKERSE PUTTEN";"";"";"";"";"";"";"";""
"Q001";"OUD MERKSEM";1194;2705;419;62;21;19,8;153;15261
"Q012";"MERKSEM-CENTRUM";1056;2331;659;207;72;42,3;127;14049
"Q021";"LAATLOS";250;616;85;11;".";12,9;78;8891
"Q03-";"GAGELVELDEN";830;2022;634;145;25;26,8;83;13693
"Q04-";"KLUIZEVELDEN";763;1657;430;90;32;28,4;116;11574
"Q052";"EIGEN HEERD";267;647;76;18;".";23,7;128;12888
"Q072";"DUIVELSHOEK";19;91;16;".";".";18,8;4;9479
"Q091";"PARK";9;24;5;".";".";".";".";"."
"Q10-";"OUDE BAREEL";885;2042;475;87;21;22,7;101;10790
"Q11-";"MERKSEMHEIDE";349;894;320;64;9;22,8;48;5031
"Q12-";"KROONWIJK";1141;2812;645;103;19;18,9;107;10697
"Q13-";"MELGESDREEF";691;1872;629;137;28;26,2;92;9457
"Q14-";"TUINWIJK";716;1646;882;266;122;44,0;71;9594
"Q17-";"MERKSEM-DOKKEN";37;61;7;".";".";14,3;2;"."
"Q201";"LAMBRECHTSHOEKEN";1656;3906;1263;345;78;33,5;132;13764
"Q212";"LAARSE BAAN-WEST";671;1730;654;186;37;34,1;126;14782
"Q222";"RIETSCHOORVELDEN";130;280;111;22;".";20,7;74;7574
"Q233";"LAARSE BAAN-OOST";314;832;388;103;10;29,1;101;12455
"Q241";"KRUISBAANVELDEN";".";24;".";".";".";".";".";"."
"Q242";"KRUISBAANVELDEN";166;442;296;86;24;37,2;51;10158
